timestamp,cam_id,fps,people,is_night
1773026058,0,0.0,0,0
1773026058,1,0.0,0,0
1773026058,2,0.0,0,0
1773026058,3,0.0,0,0
1773026058,4,0.0,0,0
1773026058,5,0.0,0,0
1773026058,6,0.0,0,0
1773026058,7,0.0,0,0
1773026058,8,0.0,0,0
1773026058,9,0.0,0,0
1773026058,10,0.0,0,0
1773026058,11,0.0,0,0
1773026058,12,0.0,0,0
1773026058,13,0.0,0,0
1773026058,14,0.0,0,0
1773026058,15,0.0,0,0
1773026058,16,0.0,0,0
1773026058,17,0.0,0,0
1773026058,18,0.0,0,0
1773026058,19,0.0,0,0
1773026058,20,0.0,0,0
1773026058,21,0.0,0,0
1773026058,22,0.0,0,0
1773026058,23,0.0,0,0
1773026058,24,0.0,0,0
